Parameters:
  nodes               (unsigned)          1
Options:
  -l, --minblocksize  (bytes)             128
  -u, --maxblocksize  (bytes)             2048
nsteps: 4
Nodes, Procs, Round, NBytes, Blocksize, Algo, Rank, Ttotal, Tmerge, Tcomm
blocksize: 128
1, 12, 1, 18432, 128, AlltoAll, 11, 4.10005e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseFlatHandshake, 0, 3.82066e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseFlatHandshake, 1, 3.24845e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseFlatHandshake, 2, 3.82066e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseFlatHandshake, 3, 3.81991e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseFlatHandshake, 4, 3.81991e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseFlatHandshake, 5, 3.81321e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseFlatHandshake, 6, 3.53456e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseFlatHandshake, 7, 3.1285e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseFlatHandshake, 8, 3.81991e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseFlatHandshake, 9, 3.91081e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseFlatHandshake, 10, 4.01586e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseFlatHandshake, 11, 3.81991e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseOneFactor, 0, 3.58969e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseOneFactor, 1, 3.01749e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseOneFactor, 2, 2.91914e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseOneFactor, 3, 2.91914e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseOneFactor, 4, 2.92584e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseOneFactor, 5, 3.19853e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseOneFactor, 6, 3.36692e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseOneFactor, 7, 3.01674e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseOneFactor, 8, 3.02345e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseOneFactor, 9, 3.11434e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseOneFactor, 10, 3.20524e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseOneFactor, 11, 3.01674e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeFlatHandshake4, 0, 4.00916e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeFlatHandshake4, 1, 4.40702e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeFlatHandshake4, 2, 3.68059e-05, 0, 0
1, 12, 1, 18432, 128, ScatteredPairwiseWaitsomeFlatHandshake4, 3, 4.12092e-05, 0, 0
